name;tag;dob;pob;dept_num;dept_ob;region;lat;lon;confidence
Frédéric Joliot;scholar;1900;Paris 16;75;Paris;Île-de-France;48.86101150512695;2.2834136486053467;0.868
Georges Dumézil;scholar;1898;Paris 12;75;Paris;Île-de-France;48.836666107177734;2.403441905975342;0.867
André Pézard;scholar;1893;Paris 11;75;Paris;Île-de-France;48.86030960083008;2.3786137104034424;0.867
Georges Posener;scholar;1906;Paris 6;75;Paris;Île-de-France;48.85261154174805;2.3332111835479736;0.861
Paul-Marie Duval;scholar;1912;Paris 7;75;Paris;Île-de-France;48.857215881347656;2.3098840713500977;0.862
Paul Lemerle;scholar;1903;Paris 12;75;Paris;Île-de-France;48.836666107177734;2.403441905975342;0.867
Jacques Monod;scholar;1910;Paris 17;75;Paris;Île-de-France;48.88784408569336;2.3070974349975586;0.868
André Leroi-Gourhan;scholar;1911;Paris 11;75;Paris;Île-de-France;48.86030960083008;2.3786137104034424;0.867
André Chastel;scholar;1912;Paris 12;75;Paris;Île-de-France;48.836666107177734;2.403441905975342;0.867
Marcel Froissart;scholar;1934;Paris 6;75;Paris;Île-de-France;48.85261154174805;2.3332111835479736;0.861
Jean Leclant;scholar;1920;Paris 14;75;Paris;Île-de-France;48.83161926269531;2.3244473934173584;0.867
Pierre Hadot;scholar;1922;Paris 15;75;Paris;Île-de-France;48.84374237060547;2.2927637100219727;0.869
Philippe Nozières;scholar;1932;Paris 16;75;Paris;Île-de-France;48.86101150512695;2.2834136486053467;0.868
Gilles Gaston Granger;scholar;1920;Paris 6;75;Paris;Île-de-France;48.85261154174805;2.3332111835479736;0.861
Antoine Labeyrie;scholar;1943;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Jean-Christophe Yoccoz;scholar;1957;Paris 11;75;Paris;Île-de-France;48.86030960083008;2.3786137104034424;0.867
Daniel Roche;scholar;1935;Paris 14;75;Paris;Île-de-France;48.83161926269531;2.3244473934173584;0.867
Gilles Veinstein;scholar;1945;Paris 7;75;Paris;Île-de-France;48.857215881347656;2.3098840713500977;0.862
Philippe Descola;scholar;1949;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Mireille Delmas-Marty;scholar;1941;Paris 17;75;Paris;Île-de-France;48.88784408569336;2.3070974349975586;0.868
Michel Devoret;scholar;1953;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Alain Prochiantz;scholar;1948;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Anne Cheng;scholar;1955;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Esther Duflo;scholar;1972;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Philippe Sansonetti;scholar;1949;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Antoine Georges;scholar;1961;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Serge Abiteboul;scholar;1953;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Jean-Noël Robert;scholar;1949;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Alain Fischer;scholar;1949;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Georges Calas;scholar;1948;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Philippe Aghion;scholar;1956;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Patrick Boucheron;scholar;1965;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Bénédicte Savoy;scholar;1972;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Arnaud Fontanet;scholar;1961;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Yanick Lahens;scholar;1953;Port-au-Prince;75;Paris;Île-de-France;48.819018;2.365597;0.695
Jean-Philippe Bouchaud;scholar;1962;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Nalini Anantharaman;scholar;1976;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Esther Duflo;scholar;1972;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Benoît Peeters;scholar;1956;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Emile Benveniste;scholar;1902;Alep;83;Var;Provence-Alpes-Côte d'Azur;43.142599;5.896946;0.702
Alain Connes;scholar;1947;Draguignan;83;Var;Provence-Alpes-Côte d'Azur;43.532153;6.459174;0.952
Jean-Pierre Brun;scholar;1955;Ollioules;83;Var;Provence-Alpes-Côte d'Azur;43.134973;5.853916;0.948
Jean-François Joanny;scholar;1956;Toulon;83;Var;Provence-Alpes-Côte d'Azur;43.136379;5.933443;0.959
Mathilde Touvier;scholar;1980;La Seyne-sur-Mer;83;Var;Provence-Alpes-Côte d'Azur;43.093325;5.879651;0.954
Paul Fallot;scholar;1889;Strasbourg;67;Bas-Rhin;Grand Est;48.579831;7.761454;0.961
Robert Minder;scholar;1902;Wasselonne;67;Bas-Rhin;Grand Est;48.638764;7.442063;0.943
Alfred Jost;scholar;1916;Strasbourg;67;Bas-Rhin;Grand Est;48.579831;7.761454;0.961
Jean-Marie Lehn;scholar;1939;Rosheim;67;Bas-Rhin;Grand Est;48.495984;7.404783;0.943
Jean-Marie Zemb;scholar;1928;Erstein;67;Bas-Rhin;Grand Est;48.41893;7.667782;0.946
Étienne-Émile Baulieu;scholar;1926;Strasbourg;67;Bas-Rhin;Grand Est;48.579831;7.761454;0.961
Roland Recht;scholar;1941;Strasbourg;67;Bas-Rhin;Grand Est;48.579831;7.761454;0.961
Jean-Louis Mandel;scholar;1946;Strasbourg;67;Bas-Rhin;Grand Est;48.579831;7.761454;0.961
Thomas Pavel;scholar;1941;Bucarest;67;Bas-Rhin;Grand Est;48.569385;7.776079;0.699
Anselm Kiefer;scholar;1945;Donaueschingen;67;Bas-Rhin;Grand Est;48.732915;7.357231;0.689
Bernard Derrida;scholar;1952;El Biar;67;Bas-Rhin;Grand Est;48.464848;7.440062;0.95
Robert Courrier;scholar;1895;Saxon-Sion;54;Meurthe-et-Moselle;Grand Est;48.427092;6.079481;0.923
Etienne Drioton;scholar;1889;Nancy;54;Meurthe-et-Moselle;Grand Est;48.688135;6.171263;0.957
François Jacob;scholar;1920;Nancy;54;Meurthe-et-Moselle;Grand Est;48.688135;6.171263;0.957
Pascal Dusapin;scholar;1955;Nancy;54;Meurthe-et-Moselle;Grand Est;48.688135;6.171263;0.957
Szolem Mandelbrojt;scholar;1899;Varsovie;31;Haute-Garonne;Occitanie;43.596489;1.430218;0.708
André Grabar;scholar;1896;Kiev;31;Haute-Garonne;Occitanie;43.571063;1.404782;0.702
Yves Laporte;scholar;1920;Toulouse;31;Haute-Garonne;Occitanie;43.604082;1.433805;0.964
Jean Dausset;scholar;1916;Toulouse;31;Haute-Garonne;Occitanie;43.604082;1.433805;0.964
Bronislaw Geremek;scholar;1932;Varsovie;31;Haute-Garonne;Occitanie;43.596489;1.430218;0.708
Louis Robert;scholar;Not found;Not found;foreign;foreign;foreign;;;
Alexandre Dauvillier;scholar;Not found;Not found;foreign;foreign;foreign;;;
Emile Gaspardone;scholar;Not found;Not found;foreign;foreign;foreign;;;
Francis Perrin;scholar;Not found;Not found;foreign;foreign;foreign;;;
Alfred Fessard;scholar;1900;Unknown;foreign;foreign;foreign;;;
Gaston Wiet;scholar;1887;Unknown;foreign;foreign;foreign;;;
Martial Guéroult;scholar;1891;Unknown;foreign;foreign;foreign;;;
Jacques Benoit;scholar;Not found;Not found;foreign;foreign;foreign;;;
Jean Filliozat;scholar;1906;Unknown;foreign;foreign;foreign;;;
Louis Chevalier;scholar;Not found;Not found;foreign;foreign;foreign;;;
Claude Frédéric-Armand Schaëffer-Forrer;scholar;Not found;Not found;foreign;foreign;foreign;;;
Jacques Berque;scholar;1910.0;Frenda;foreign;foreign;foreign;;;
Anatole Abragam;scholar;1914.0;Daugavpils;foreign;foreign;foreign;;;
Bernard Halpern;scholar;1904.0;Tarnoruda;foreign;foreign;foreign;;;
Jacques Prentki;scholar;Not found;Not found;foreign;foreign;foreign;;;
Israël Salvator Révah;scholar;Not found;Not found;foreign;foreign;foreign;;;
Rolf Alfred Stein;scholar;1911.0;Świecie;foreign;foreign;foreign;;;
François Morel;scholar;Not found;Not found;foreign;foreign;foreign;;;
Raymond Aron;scholar;1905.0;Paris 6;75;Paris;Île-de-France;48.85261154174805;2.3332111835479736;
Pierre-Gilles Gennes, de;scholar;Not found;Not found;foreign;foreign;foreign;;;
Jacqueline Romilly, de;scholar;Not found;Not found;foreign;foreign;foreign;;;
Emmanuel Laroche;scholar;1914;Unknown;foreign;foreign;foreign;;;
Emmanuel Le Roy Ladurie;scholar;1929;Unknown;foreign;foreign;foreign;;;
Julian Ajuriaguerra, de;scholar;Not found;Not found;foreign;foreign;foreign;;;
François Gros;scholar;Not found;Not found;foreign;foreign;foreign;;;
Gilbert Dagron;scholar;1932;Unknown;foreign;foreign;foreign;;;
Bernard Frank;scholar;Not found;Not found;foreign;foreign;foreign;;;
Pierre Joliot;scholar;1932;Unknown;foreign;foreign;foreign;;;
