name,tag,dob,pob,dept_num,dept_ob,region,lat,lon,confidence
Frédéric Joliot,college_de_france,1900,Paris 16,75,Paris,Île-de-France,48.86101150512695,2.2834136486053467,0.868
Emile Benveniste,college_de_france,1902,Alep,83,Var,Provence-Alpes-Côte d'Azur,43.142599,5.896946,0.702
Paul Fallot,college_de_france,1889,Strasbourg,67,Bas-Rhin,Grand Est,48.579831,7.761454,0.961
Robert Courrier,college_de_france,1895,Saxon-Sion,54,Meurthe-et-Moselle,Grand Est,48.427092,6.079481,0.923
Szolem Mandelbrojt,college_de_france,1899,Varsovie,31,Haute-Garonne,Occitanie,43.596489,1.430218,0.708
Louis Robert,college_de_france,Not found,Not found,foreign,foreign,foreign,,,
Alexandre Dauvillier,college_de_france,Not found,Not found,foreign,foreign,foreign,,,
Marcel Bataillon,college_de_france,1895,Dijon,21,Côte-d'Or,Bourgogne-Franche-Comté,47.331848,5.033601,0.959
Jean Pommier,college_de_france,1922,Niort,79,Deux-Sèvres,Nouvelle-Aquitaine,46.327232,-0.466291,0.954
Paul Demiéville,college_de_france,1894,Lausanne,37,Indre-et-Loire,Centre-Val de Loire,47.043244,1.182838,0.939
Emile Gaspardone,college_de_france,Not found,Not found,foreign,foreign,foreign,,,
André Grabar,college_de_france,1896,Kiev,31,Haute-Garonne,Occitanie,43.571063,1.404782,0.702
Paul Mus,college_de_france,1902,Bourges,09,Ariège,Occitanie,42.962755,1.861999,0.954
Francis Perrin,college_de_france,Not found,Not found,foreign,foreign,foreign,,,
Pierre Gourou,college_de_france,1900,Tunis,47,Lot-et-Garonne,Nouvelle-Aquitaine,44.05238,0.276355,0.942
Marcel Giraud,college_de_france,1900,Nice,06,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.71273,7.25092,0.962
Jean Roche,college_de_france,1937,Beaujeu,05,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.316578,5.834988,0.949
Félix Lecoy,college_de_france,1903,Tunis,47,Lot-et-Garonne,Nouvelle-Aquitaine,44.05238,0.276355,0.942
Jean Leray,college_de_france,1906,Chantenay-sur-Loire,77,Seine-et-Marne,Île-de-France,48.417037,3.090192,0.402
